building_id,hour,kwh_usage
white_house,1,4.898962
white_house,2,4.725122
white_house,3,5.889937
white_house,4,7.055993
white_house,5,8.147902
white_house,6,9.526529
white_house,7,9.654547
white_house,8,9.497643
white_house,9,7.656154
white_house,10,6.922413
white_house,11,4.821351
white_house,12,5.117135
white_house,13,6.103418
white_house,14,7.221611
white_house,15,10.372388
white_house,16,12.876020
white_house,17,15.434560
white_house,18,18.041841
white_house,19,18.205720
white_house,20,16.776500
white_house,21,15.114921
white_house,22,12.123730
white_house,23,8.830045
white_house,0,6.439924
white_museum,1,3.146252
white_museum,2,2.818647
white_museum,3,2.856209
white_museum,4,2.912183
white_museum,5,3.898217
white_museum,6,4.244804
white_museum,7,4.407645
white_museum,8,3.961966
white_museum,9,3.501887
white_museum,10,3.429625
white_museum,11,2.463888
white_museum,12,2.150805
white_museum,13,2.726530
white_museum,14,3.954946
white_museum,15,4.920009
white_museum,16,5.151228
white_museum,17,6.439517
white_museum,18,7.830080
white_museum,19,7.797688
white_museum,20,7.385189
white_museum,21,6.687765
white_museum,22,5.950172
white_museum,23,4.164074
white_museum,0,3.175319
white_office,1,3.858795
white_office,2,3.194836
white_office,3,3.734898
white_office,4,2.660663
white_office,5,2.878638
white_office,6,2.012667
white_office,7,2.625784
white_office,8,2.154513
white_office,9,2.590957
white_office,10,4.133597
white_office,11,4.743615
white_office,12,5.815853
white_office,13,5.694419
white_office,14,6.058548
white_office,15,5.387791
white_office,16,5.390841
white_office,17,4.142202
white_office,18,3.608910
white_office,19,3.019326
white_office,20,2.196624
white_office,21,2.338891
white_office,22,2.166076
white_office,23,3.121719
white_office,0,3.675055
white_planetarium,1,4.727434
white_planetarium,2,5.237724
white_planetarium,3,4.415148
white_planetarium,4,4.830641
white_planetarium,5,3.698756
white_planetarium,6,3.226462
white_planetarium,7,2.129372
white_planetarium,8,2.637117
white_planetarium,9,2.851919
white_planetarium,10,3.662921
white_planetarium,11,5.035781
white_planetarium,12,7.391436
white_planetarium,13,8.391643
white_planetarium,14,9.445236
white_planetarium,15,9.290843
white_planetarium,16,8.194083
white_planetarium,17,7.732115
white_planetarium,18,5.959699
white_planetarium,19,4.324015
white_planetarium,20,3.132223
white_planetarium,21,2.268948
white_planetarium,22,2.206295
white_planetarium,23,3.162783
white_planetarium,0,3.379584
white_birdhouse,1,0.819568
white_birdhouse,2,0.910068
white_birdhouse,3,1.073342
white_birdhouse,4,1.184601
white_birdhouse,5,0.985596
white_birdhouse,6,0.971624
white_birdhouse,7,1.252963
white_birdhouse,8,1.124934
white_birdhouse,9,1.233614
white_birdhouse,10,1.160878
white_birdhouse,11,0.988000
white_birdhouse,12,1.090139
white_birdhouse,13,1.022537
white_birdhouse,14,1.555355
white_birdhouse,15,1.125869
white_birdhouse,16,1.010015
white_birdhouse,17,0.607742
white_birdhouse,18,0.634485
white_birdhouse,19,1.323900
white_birdhouse,20,1.303343
white_birdhouse,21,0.637724
white_birdhouse,22,1.028018
white_birdhouse,23,0.571150
white_birdhouse,0,1.119633
white_stadium,1,7.132613
white_stadium,2,7.932991
white_stadium,3,8.937335
white_stadium,4,9.203448
white_stadium,5,8.205828
white_stadium,6,6.886197
white_stadium,7,5.424064
white_stadium,8,4.584440
white_stadium,9,4.638993
white_stadium,10,5.758844
white_stadium,11,7.234599
white_stadium,12,10.086335
white_stadium,13,13.576347
white_stadium,14,16.043910
white_stadium,15,16.566821
white_stadium,16,17.227109
white_stadium,17,16.282653
white_stadium,18,13.652396
white_stadium,19,10.913538
white_stadium,20,8.145972
white_stadium,21,5.466820
white_stadium,22,4.949681
white_stadium,23,4.659512
white_stadium,0,5.094320
white_warehouse,1,2.631564
white_warehouse,2,2.459066
white_warehouse,3,2.485492
white_warehouse,4,2.080028
white_warehouse,5,2.572819
white_warehouse,6,1.801951
white_warehouse,7,2.253971
white_warehouse,8,3.626326
white_warehouse,9,3.810336
white_warehouse,10,3.899009
white_warehouse,11,4.076478
white_warehouse,12,4.628783
white_warehouse,13,4.121092
white_warehouse,14,3.857778
white_warehouse,15,3.692777
white_warehouse,16,3.070260
white_warehouse,17,2.642667
white_warehouse,18,2.183269
white_warehouse,19,1.943192
white_warehouse,20,2.528192
white_warehouse,21,2.848781
white_warehouse,22,3.074811
white_warehouse,23,3.403217
white_warehouse,0,2.904804
white_market,1,5.878741
white_market,2,8.230408
white_market,3,9.975690
white_market,4,10.792320
white_market,5,10.085093
white_market,6,9.495955
white_market,7,8.025679
white_market,8,5.857210
white_market,9,5.649427
white_market,10,4.805277
white_market,11,6.287207
white_market,12,9.325515
white_market,13,12.149820
white_market,14,15.750861
white_market,15,18.290288
white_market,16,19.945065
white_market,17,19.587920
white_market,18,18.511940
white_market,19,15.060115
white_market,20,12.385395
white_market,21,9.173901
white_market,22,6.804911
white_market,23,5.135027
white_market,0,5.078847
white_hydroelectric_plant,1,4.234904
white_hydroelectric_plant,2,3.751617
white_hydroelectric_plant,3,3.091799
white_hydroelectric_plant,4,2.177963
white_hydroelectric_plant,5,2.262231
white_hydroelectric_plant,6,3.248602
white_hydroelectric_plant,7,3.071565
white_hydroelectric_plant,8,4.353379
white_hydroelectric_plant,9,5.254019
white_hydroelectric_plant,10,5.699547
white_hydroelectric_plant,11,6.583457
white_hydroelectric_plant,12,7.067395
white_hydroelectric_plant,13,6.581588
white_hydroelectric_plant,14,5.224679
white_hydroelectric_plant,15,4.554878
white_hydroelectric_plant,16,3.948454
white_hydroelectric_plant,17,2.962159
white_hydroelectric_plant,18,2.312093
white_hydroelectric_plant,19,2.908713
white_hydroelectric_plant,20,3.351857
white_hydroelectric_plant,21,2.862558
white_hydroelectric_plant,22,3.793536
white_hydroelectric_plant,23,4.079485
white_hydroelectric_plant,0,4.273031
white_windmill,1,8.742778
white_windmill,2,7.800651
white_windmill,3,6.675448
white_windmill,4,4.944480
white_windmill,5,5.498438
white_windmill,6,5.660282
white_windmill,7,8.306102
white_windmill,8,11.264281
white_windmill,9,13.848910
white_windmill,10,16.553647
white_windmill,11,18.491976
white_windmill,12,18.649114
white_windmill,13,17.158874
white_windmill,14,14.801133
white_windmill,15,11.645470
white_windmill,16,8.361428
white_windmill,17,6.227881
white_windmill,18,5.121355
white_windmill,19,5.016153
white_windmill,20,5.468215
white_windmill,21,7.732618
white_windmill,22,8.564979
white_windmill,23,9.868644
white_windmill,0,9.449940
white_opera_house,1,9.799025
white_opera_house,2,8.528166
white_opera_house,3,6.593575
white_opera_house,4,5.272066
white_opera_house,5,4.777648
white_opera_house,6,5.739844
white_opera_house,7,7.660010
white_opera_house,8,10.509169
white_opera_house,9,13.743071
white_opera_house,10,16.966772
white_opera_house,11,18.853207
white_opera_house,12,19.308474
white_opera_house,13,18.555191
white_opera_house,14,16.774426
white_opera_house,15,14.006538
white_opera_house,16,9.913425
white_opera_house,17,7.289604
white_opera_house,18,5.940797
white_opera_house,19,5.270450
white_opera_house,20,6.211377
white_opera_house,21,7.339161
white_opera_house,22,9.108888
white_opera_house,23,10.172029
white_opera_house,0,10.337435
white_gymnaisum,1,3.660036
white_gymnaisum,2,3.361898
white_gymnaisum,3,3.862785
white_gymnaisum,4,5.569621
white_gymnaisum,5,6.531850
white_gymnaisum,6,7.033399
white_gymnaisum,7,8.275240
white_gymnaisum,8,7.383456
white_gymnaisum,9,6.851097
white_gymnaisum,10,5.407777
white_gymnaisum,11,3.639254
white_gymnaisum,12,3.356541
white_gymnaisum,13,4.508667
white_gymnaisum,14,5.760441
white_gymnaisum,15,8.294102
white_gymnaisum,16,10.382446
white_gymnaisum,17,12.704540
white_gymnaisum,18,14.939774
white_gymnaisum,19,14.611459
white_gymnaisum,20,14.161646
white_gymnaisum,21,12.767318
white_gymnaisum,22,10.184124
white_gymnaisum,23,7.254944
white_gymnaisum,0,5.268067
white_school,1,3.009559
white_school,2,2.734823
white_school,3,3.540582
white_school,4,3.952544
white_school,5,5.535967
white_school,6,5.911107
white_school,7,5.789128
white_school,8,4.951805
white_school,9,4.328442
white_school,10,4.041404
white_school,11,3.663034
white_school,12,2.753646
white_school,13,3.855820
white_school,14,4.863756
white_school,15,6.043996
white_school,16,8.142005
white_school,17,8.799452
white_school,18,10.482032
white_school,19,9.794819
white_school,20,9.454782
white_school,21,9.010159
white_school,22,6.822885
white_school,23,5.143882
white_school,0,3.612145
white_taco_truck,1,2.112658
white_taco_truck,2,3.268629
white_taco_truck,3,3.260493
white_taco_truck,4,3.510960
white_taco_truck,5,4.017632
white_taco_truck,6,4.402728
white_taco_truck,7,3.549192
white_taco_truck,8,3.168824
white_taco_truck,9,2.582084
white_taco_truck,10,2.082489
white_taco_truck,11,2.660125
white_taco_truck,12,2.847491
white_taco_truck,13,3.994797
white_taco_truck,14,4.828019
white_taco_truck,15,5.866925
white_taco_truck,16,7.365191
white_taco_truck,17,7.881637
white_taco_truck,18,7.282009
white_taco_truck,19,7.157438
white_taco_truck,20,5.819943
white_taco_truck,21,4.149923
white_taco_truck,22,3.637725
white_taco_truck,23,2.068969
white_taco_truck,0,1.953240
white_base,1,9.105237
white_base,2,9.002628
white_base,3,8.323299
white_base,4,6.744583
white_base,5,5.330625
white_base,6,4.674021
white_base,7,4.444118
white_base,8,5.076861
white_base,9,6.922060
white_base,10,10.096824
white_base,11,12.751267
white_base,12,15.913309
white_base,13,17.609822
white_base,14,17.020393
white_base,15,16.125436
white_base,16,14.164748
white_base,17,11.437872
white_base,18,7.931964
white_base,19,5.841720
white_base,20,4.629216
white_base,21,4.447376
white_base,22,5.554034
white_base,23,6.489430
white_base,0,7.969720
white_houseboat,1,4.567461
white_houseboat,2,4.132941
white_houseboat,3,4.134255
white_houseboat,4,3.289723
white_houseboat,5,2.464270
white_houseboat,6,2.137120
white_houseboat,7,2.455853
white_houseboat,8,2.964860
white_houseboat,9,3.953701
white_houseboat,10,5.832746
white_houseboat,11,6.755426
white_houseboat,12,7.835391
white_houseboat,13,7.641143
white_houseboat,14,8.192439
white_houseboat,15,6.479650
white_houseboat,16,5.983031
white_houseboat,17,4.754452
white_houseboat,18,3.181348
white_houseboat,19,2.468652
white_houseboat,20,2.536126
white_houseboat,21,2.684415
white_houseboat,22,3.277525
white_houseboat,23,3.709595
white_houseboat,0,4.087242
white_hospital,1,1.434185
white_hospital,2,2.102974
white_hospital,3,1.584120
white_hospital,4,2.284732
white_hospital,5,2.129915
white_hospital,6,2.264962
white_hospital,7,2.052653
white_hospital,8,1.997168
white_hospital,9,1.143651
white_hospital,10,1.647581
white_hospital,11,2.143378
white_hospital,12,2.065493
white_hospital,13,2.095425
white_hospital,14,3.276517
white_hospital,15,3.680504
white_hospital,16,3.541312
white_hospital,17,2.969324
white_hospital,18,3.465799
white_hospital,19,2.220013
white_hospital,20,1.751005
white_hospital,21,2.266570
white_hospital,22,1.195268
white_hospital,23,1.648434
white_hospital,0,1.834818
white_aquarium,1,0.662574
white_aquarium,2,1.540966
white_aquarium,3,1.022273
white_aquarium,4,1.442870
white_aquarium,5,1.515117
white_aquarium,6,2.070114
white_aquarium,7,1.217639
white_aquarium,8,1.424258
white_aquarium,9,1.142997
white_aquarium,10,1.426695
white_aquarium,11,0.871361
white_aquarium,12,0.858009
white_aquarium,13,1.250657
white_aquarium,14,1.975882
white_aquarium,15,1.941839
white_aquarium,16,1.766825
white_aquarium,17,2.715062
white_aquarium,18,1.934679
white_aquarium,19,2.305056
white_aquarium,20,1.826770
white_aquarium,21,1.615717
white_aquarium,22,1.875562
white_aquarium,23,1.668264
white_aquarium,0,1.294083
red_house,1,4.368265
red_house,2,5.423919
red_house,3,6.048510
red_house,4,6.533414
red_house,5,5.642886
red_house,6,5.519845
red_house,7,3.917340
red_house,8,3.157880
red_house,9,3.104834
red_house,10,3.979920
red_house,11,4.610541
red_house,12,6.016921
red_house,13,8.288983
red_house,14,9.863865
red_house,15,10.836104
red_house,16,11.922497
red_house,17,10.616426
red_house,18,10.080449
red_house,19,8.481521
red_house,20,6.604775
red_house,21,4.894874
red_house,22,3.459596
red_house,23,3.145823
red_house,0,3.624136
red_museum,1,3.831514
red_museum,2,3.973747
red_museum,3,3.516827
red_museum,4,3.869092
red_museum,5,2.987053
red_museum,6,2.133079
red_museum,7,2.561654
red_museum,8,2.561385
red_museum,9,2.516720
red_museum,10,3.533560
red_museum,11,3.945397
red_museum,12,5.516141
red_museum,13,6.385245
red_museum,14,5.946029
red_museum,15,6.166479
red_museum,16,5.591897
red_museum,17,4.577612
red_museum,18,4.390098
red_museum,19,3.326400
red_museum,20,2.225027
red_museum,21,1.993508
red_museum,22,2.298283
red_museum,23,3.189752
red_museum,0,3.433472
red_office,1,0.776829
red_office,2,1.386096
red_office,3,1.318104
red_office,4,1.152857
red_office,5,1.149828
red_office,6,1.450603
red_office,7,1.345208
red_office,8,1.599036
red_office,9,1.078981
red_office,10,1.601800
red_office,11,1.685380
red_office,12,1.560455
red_office,13,0.983473
red_office,14,0.945048
red_office,15,1.278547
red_office,16,1.267826
red_office,17,1.147097
red_office,18,1.278635
red_office,19,1.028584
red_office,20,1.174679
red_office,21,0.838157
red_office,22,0.735642
red_office,23,1.462968
red_office,0,0.716499
red_planetarium,1,2.214686
red_planetarium,2,2.494350
red_planetarium,3,3.091352
red_planetarium,4,3.002865
red_planetarium,5,2.137749
red_planetarium,6,2.290325
red_planetarium,7,1.723401
red_planetarium,8,2.464853
red_planetarium,9,2.614121
red_planetarium,10,2.221951
red_planetarium,11,2.996404
red_planetarium,12,3.052980
red_planetarium,13,4.064385
red_planetarium,14,3.750254
red_planetarium,15,3.827935
red_planetarium,16,3.751121
red_planetarium,17,3.585132
red_planetarium,18,3.547274
red_planetarium,19,2.629329
red_planetarium,20,2.777225
red_planetarium,21,1.830549
red_planetarium,22,1.590436
red_planetarium,23,2.383180
red_planetarium,0,2.700418
red_birdhouse,1,6.011503
red_birdhouse,2,6.882107
red_birdhouse,3,6.997244
red_birdhouse,4,7.670858
red_birdhouse,5,6.949175
red_birdhouse,6,6.092260
red_birdhouse,7,4.692723
red_birdhouse,8,4.289701
red_birdhouse,9,3.835881
red_birdhouse,10,4.692274
red_birdhouse,11,6.612628
red_birdhouse,12,8.486141
red_birdhouse,13,10.251122
red_birdhouse,14,12.138832
red_birdhouse,15,13.032774
red_birdhouse,16,13.019011
red_birdhouse,17,12.077842
red_birdhouse,18,10.490932
red_birdhouse,19,8.741192
red_birdhouse,20,6.505708
red_birdhouse,21,4.851079
red_birdhouse,22,4.255459
red_birdhouse,23,4.409965
red_birdhouse,0,4.951366
red_stadium,1,6.966616
red_stadium,2,6.107739
red_stadium,3,4.617328
red_stadium,4,4.172827
red_stadium,5,3.926143
red_stadium,6,5.258339
red_stadium,7,7.198870
red_stadium,8,9.388898
red_stadium,9,11.377862
red_stadium,10,12.929311
red_stadium,11,13.997618
red_stadium,12,14.135853
red_stadium,13,13.132506
red_stadium,14,10.831913
red_stadium,15,8.679618
red_stadium,16,6.565876
red_stadium,17,5.119414
red_stadium,18,4.100822
red_stadium,19,4.344507
